order_id,order_timestamp,order_details_id,pizza_id,quantity
1,2023-01-01 11:45:11,1,hawaiian_m,1
2,2023-01-01 11:53:26,2,big_meat_l,1
2,2023-01-01 11:53:26,3,classic_dlx_m,1
2,2023-01-01 11:53:26,4,five_cheese_l,1
2,2023-01-01 11:53:26,5,potato_m,1
2,2023-01-01 11:53:26,6,thai_ckn_l,1
3,2023-01-01 11:54:22,7,pepperoni_l,1
3,2023-01-01 11:54:22,8,super_supreme_m,1
4,2023-01-01 12:09:18,9,big_meat_m,1
5,2023-01-01 12:15:29,10,super_supreme_m,1
6,2023-01-01 12:15:57,11,bbq_ckn_s,1
6,2023-01-01 12:15:57,12,prsc_rucola_s,1
7,2023-01-01 12:16:59,13,super_supreme_s,1
8,2023-01-01 12:31:03,14,pepperoni_s,1
9,2023-01-01 12:38:39,15,bbq_ckn_s,1
9,2023-01-01 12:38:39,16,classic_dlx_s,1
9,2023-01-01 12:38:39,17,green_garden_s,1
9,2023-01-01 12:38:39,18,pepperoni_l,1
9,2023-01-01 12:38:39,19,potato_s,2
9,2023-01-01 12:38:39,20,spin_pesto_l,1
9,2023-01-01 12:38:39,21,super_supreme_l,1
9,2023-01-01 12:38:39,22,thai_ckn_l,1
10,2023-01-01 12:38:57,23,pepperoni_l,1
10,2023-01-01 12:38:57,24,potato_l,1
11,2023-01-01 12:46:51,25,bbq_ckn_l,1
11,2023-01-01 12:46:51,26,hawaiian_l,1
11,2023-01-01 12:46:51,27,hawaiian_m,1
11,2023-01-01 12:46:51,28,pepperoni_l,1
12,2023-01-01 12:54:56,29,bulgogi_l,1
12,2023-01-01 12:54:56,30,classic_dlx_l,1
12,2023-01-01 12:54:56,31,five_cheese_m,1
12,2023-01-01 12:54:56,32,prsc_rucola_s,1
13,2023-01-01 13:12:26,33,potato_l,1
14,2023-01-01 13:27:18,34,hawaiian_s,1
15,2023-01-01 13:39:50,35,bbq_ckn_l,1
15,2023-01-01 13:39:50,36,bbq_ckn_s,1
15,2023-01-01 13:39:50,37,big_meat_s,1
15,2023-01-01 13:39:50,38,five_cheese_l,1
16,2023-01-01 14:11:38,39,potato_s,1
16,2023-01-01 14:11:38,40,spin_pesto_l,1
16,2023-01-01 14:11:38,41,thai_ckn_l,1
17,2023-01-01 14:11:40,42,bbq_ckn_l,1
17,2023-01-01 14:11:40,43,classic_dlx_l,1
17,2023-01-01 14:11:40,44,five_cheese_l,2
17,2023-01-01 14:11:40,45,green_garden_m,1
17,2023-01-01 14:11:40,46,hawaiian_m,3
17,2023-01-01 14:11:40,47,pepperoni_m,1
17,2023-01-01 14:11:40,48,prsc_rucola_s,1
17,2023-01-01 14:11:40,49,spin_pesto_s,1
18,2023-01-01 15:28:45,50,thai_ckn_l,1
19,2023-01-01 15:39:02,51,classic_dlx_l,2
20,2023-01-01 16:00:49,52,big_meat_s,1
20,2023-01-01 16:00:49,53,five_cheese_l,1
21,2023-01-01 16:32:04,54,potato_l,1
